"last_name, first_name","player_id","year","pa","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","xba","xslg","woba","xwoba","xobp","avg_swing_speed","fast_swing_rate","blasts_contact","blasts_swing","squared_up_contact","squared_up_swing","avg_swing_length","swords","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Lewis, Kyle","641786","2020","242",29.3,14,".262",".437",".364","0.801",".239",".433",".349",".344",".347",,,,,,,,,"88.3","11.1",37.2,11.7,35,"98.801784265","93.501654412",36.3,43.2
"McMahon, Ryan","641857","2020","193",34.2,9.3,".215",".419",".295","0.714",".203",".389",".308",".296",".286",,,,,,,,,"90.1","9.2",27.1,11.2,43,"101.166563962","94.858618952",31.4,47.3
"Smith, Dominic","642086","2020","199",22.6,7,".316",".616",".377","0.993",".303",".566",".412",".392",".365",,,,,,,,,"89.8","10.8",43,13.3,46.7,"100.278953134","94.610905149",26,51.9
"Adames, Willy","642715","2020","205",36.1,9.8,".259",".481",".332","0.813",".229",".394",".347",".307",".305",,,,,,,,,"88.8","12.5",36.9,9.9,40.5,"100.611447818","94.419791091",38.7,46.2
"Kiner-Falefa, Isiah","643396","2020","228",14,6.1,".280",".370",".329","0.699",".260",".340",".307",".294",".312",,,,,,,,,"87.2","0.8",22.2,2.2,31.1,"96.603922889","92.344912179",15.8,47.4
"McNeil, Jeff","643446","2020","209",11.5,9.6,".311",".454",".383","0.837",".277",".407",".360",".337",".355",,,,,,,,,"86.6","11.5",37,2.5,26.5,"95.63896284","91.861592484",17.5,57
"Robles, Victor","645302","2020","189",28,4.8,".220",".315",".293","0.608",".205",".280",".273",".262",".284",,,,,,,,,"82.2","19",37.3,1.7,22.9,"94.70035","91.585986903",27.1,50.3
"Devers, Rafael","646240","2020","248",27,5.2,".263",".483",".310","0.793",".256",".460",".337",".328",".304",,,,,,,,,"93","10.6",33.3,12.1,43.6,"102.902087073","95.998599329",31.5,55
"Jiménez, Eloy","650391","2020","226",24.8,5.3,".296",".559",".332","0.891",".278",".540",".373",".364",".317",,,,,,,,,"92.4","5.7",32.9,16.5,55.7,"103.874396076","96.948955223",29.2,54.4
"Schwarber, Kyle","656941","2020","224",29.5,13.4,".188",".393",".308","0.701",".224",".441",".307",".340",".340",,,,,,,,,"92.8","8.8",28.8,11.2,47.2,"103.130327705","96.271187438",28,42.9
"Verdugo, Alex","657077","2020","221",20.4,7.7,".308",".478",".367","0.845",".238",".369",".362",".299",".305",,,,,,,,,"87","5.9",31.2,6.4,34.4,"98.021422025","93.054003567",18.7,42.8
